Timestamp,DEM,REP,NPA/Other,Total,DEM %,REP %,NPA/Other %
2026-08-06 08:16:10,262868,240294,105770,608932,0.43168695355146386,0.39461549072802876,0.17369755572050738
2026-08-06 09:27:10,263414,241390,105971,610775,0.43127829397077483,0.3952191887356228,0.1735025172936024
2026-08-06 11:03:18,267739,245417,107448,620604,0.4314168132980129,0.3954486274661459,0.1731345592358412
2026-08-06 11:37:52,262836,240275,105764,608875,0.4316748101005954,0.39462122767398894,0.17370396222541573
2026-08-06 12:20:32,273262,252280,109144,634686,0.4305467585546239,0.3974878916503594,0.17196534979501674
2026-08-06 13:24:43,276996,254350,110564,641910,0.43151843716408844,0.3962393481952299,0.1722422146406817
2026-08-06 17:20:05,283100,259201,112372,654673,0.43242962517165057,0.3959243775136595,0.17164599731468994
2026-08-06 18:51:34,299641,278899,115793,694333,0.43155229551238383,0.4016790214493622,0.16676868303825398
2026-08-06 20:52:49,299801,279157,115834,694792,0.431497484139138,0.40178499464587963,0.16671752121498232
2026-08-06 23:49:13,299806,279159,115834,694799,0.43150033318988656,0.40178382525018025,0.16671584155993316
2026-08-07 06:07:14,297337,276790,114875,689002,0.4315473685127184,0.40172597467061055,0.16672665681667106
2026-08-07 07:45:17,299858,279184,115844,694886,0.43152114159732674,0.401769498881831,0.16670935952084226
2026-08-07 09:03:06,300609,279963,116059,696631,0.4315182643321931,0.4018813403365627,0.16660039533124424
2026-08-07 10:53:04,305182,285371,117475,708028,0.43103097617608344,0.40305044433271,0.16591857949120656
2026-08-07 11:56:10,309119,288985,118616,716720,0.43129674070766827,0.4032048777765376,0.16549838151579419
2026-08-07 12:56:15,312625,293208,119561,725394,0.43097268518901455,0.4042051629872869,0.16482215182369858
2026-08-07 13:50:49,318485,299223,121178,738886,0.4310340160728448,0.4049650419685851,0.16400094195857007
2026-08-07 14:57:00,321913,302377,122449,746739,0.4310917201324693,0.40492996883784027,0.16397831102969043
2026-08-07 15:53:40,323104,304104,122788,749996,0.43080763097403185,0.4054741625288668,0.1637182064971013
2026-08-07 16:40:55,324165,305235,123002,752402,0.4308401625726673,0.40568073981727854,0.1634790976100542
2026-08-07 17:38:43,324909,305797,123284,753990,0.4309195082162893,0.40557169193225373,0.16350879985145692
2026-08-07 18:35:14,325866,307060,123489,756415,0.4308031966579193,0.40594118308071625,0.16325562026136448
2026-08-07 19:33:37,325971,307103,123513,756587,0.43084404040777863,0.40590573192507934,0.16325022766714203
2026-08-07 21:38:58,326307,307226,123589,757122,0.43098338180636675,0.405781366807463,0.16323525138617026
2026-08-08 07:28:59,326338,307261,123589,757188,0.4309867562613248,0.40579222069023807,0.1632210230484371
2026-08-08 08:48:04,326925,308180,123709,758814,0.43083680585756196,0.40613378245525256,0.16302941168718552
2026-08-08 09:45:46,328199,310729,123989,762917,0.4301896536582617,0.4072907013475909,0.16251964499414745
2026-08-08 10:31:58,331014,316293,124686,771993,0.42877849928691064,0.4097096735333092,0.16151182717978013
2026-08-08 11:29:12,335872,324067,125987,785926,0.42735830090873694,0.41233780279568305,0.16030389629557998
2026-08-08 12:33:09,340532,333995,127098,801625,0.4248021206923437,0.4166474348978637,0.1585504444097926
2026-08-08 13:30:11,345059,340281,128567,813907,0.42395384239231265,0.4180833928200642,0.15796276478762317
2026-08-08 14:36:58,348745,346445,129509,824699,0.4228754976057931,0.42008660129332037,0.1570379011008865
2026-08-08 15:29:54,351383,350562,130166,832111,0.4222789988354919,0.4212923516213582,0.1564286495431499
2026-08-08 16:30:06,353051,353761,130581,837393,0.4216072978876107,0.42245516740646266,0.1559375347059266
2026-08-08 17:30:02,354874,355882,131033,841789,0.4215712013343011,0.4227686510515105,0.15566014761418837
2026-08-08 18:28:49,355894,356676,131228,843798,0.4217763019111209,0.42270306400347,0.15552063408540906
2026-08-08 19:28:47,356366,357423,131325,845114,0.4216780221366585,0.42292874097459043,0.1553932368887511
2026-08-08 21:44:28,357230,357732,131452,846414,0.4220511475471814,0.42264423792612127,0.15530461452669733
2026-08-09 07:28:44,357236,357743,131453,846432,0.4220492608975086,0.42264824581301275,0.15530249328947865
2026-08-09 08:50:32,357675,358187,131519,847381,0.42209466579968163,0.4226988804327687,0.15520645376754966
2026-08-09 09:49:51,358408,359527,131679,849614,0.4218480392272255,0.42316510791959644,0.15498685285317804
2026-08-09 10:34:30,360090,362801,132037,854928,0.4211933636516759,0.42436439091946926,0.15444224542885482
2026-08-09 11:31:54,363148,365997,132875,862020,0.42127560845456025,0.42458063618013503,0.15414375536530475
2026-08-09 12:34:51,365429,369646,133384,868459,0.4207786435513939,0.4256343707647684,0.1535869856838377
2026-08-09 13:31:24,367833,373540,133884,875257,0.42025713590408303,0.42677750649237883,0.15296535760353816
2026-08-09 14:40:28,370635,377287,134470,882392,0.42003440647693996,0.42757300610159654,0.15239258742146347
2026-08-09 15:33:21,372237,379442,134814,886493,0.4198984086732777,0.4280259404191573,0.15207565090756497
2026-08-09 16:32:22,373517,381040,135088,889645,0.4198494905271204,0.42830567248734047,0.1518448369855392
2026-08-09 17:32:11,374341,382019,135303,891663,0.41982340861962425,0.42843428515033144,0.1517423062300443
2026-08-09 18:31:06,374817,382649,135402,892868,0.4197899353543861,0.42856166869010875,0.1516483959555052
2026-08-09 19:31:11,374971,382770,135428,893169,0.4198208849613007,0.4285527151076672,0.15162639993103208
2026-08-09 21:48:00,375500,382914,135499,893913,0.42006325000307637,0.42835712200180553,0.1515796279951181
2026-08-09 23:55:05,375500,382916,135499,893915,0.42006231017490475,0.4283584009665348,0.15157928885856037
2026-08-10 09:07:38,376131,384069,135658,895858,0.4198556021155138,0.42871638139080076,0.1514280164936854
2026-08-10 10:58:30,384707,397215,138186,920108,0.4181107000482552,0.43170475639816197,0.15018454355358285
2026-08-10 12:04:54,391859,409256,140209,941324,0.4162849348364644,0.4347663503745788,0.14894871478895683
2026-08-10 13:51:27,403809,427007,143164,973980,0.41459680896938333,0.4384145464999281,0.14698864453068852
2026-08-10 14:57:08,407462,433448,145177,986087,0.41321100470850947,0.43956364904922185,0.14722534624226868
2026-08-10 15:56:27,411200,438763,145883,995846,0.41291524994828516,0.44059322425354924,0.14649152579816557
2026-08-10 16:45:28,413744,442543,146581,1002868,0.41256077569530586,0.4412774163698513,0.14616180793484287
2026-08-10 17:41:06,416264,445503,147248,1009015,0.41254490765746793,0.4415226731019856,0.14593241924054648
2026-08-10 18:37:17,417156,446395,147504,1011055,0.41259476487431446,0.44151406204410243,0.1458911730815831
2026-08-10 19:34:52,417941,447691,147659,1013291,0.41245900733353,0.4418187865085153,0.14572220615795461
2026-08-10 21:44:35,419343,448206,147860,1015409,0.4129794004189445,0.441404399606464,0.14561619997459152
2026-08-10 23:44:20,419349,448208,147860,1015417,0.41298205564807366,0.44140289161989604,0.1456150527320303
2026-08-11 07:43:12,419399,448256,147868,1015523,0.41298818441335156,0.4414040843978915,0.14560773118875692
2026-08-11 09:05:18,422137,451316,148615,1022068,0.413022421208765,0.4415714022941722,0.1454061764970628
2026-08-11 10:57:27,430464,464163,150990,1045617,0.41168420176795134,0.4439130197768399,0.14440277845520874
2026-08-11 12:04:13,437741,475929,152974,1066644,0.4103909083068015,0.44619291909953085,0.14341617259366762
2026-08-11 13:57:06,448242,491467,155565,1095274,0.409251018466612,0.44871602904843905,0.14203295248494896
2026-08-11 16:21:22,457876,505941,158077,1121894,0.4081276840771053,0.45097041253451753,0.14090190338837716
2026-08-11 17:26:47,460023,509303,158547,1127873,0.4078677297887262,0.45156059237165885,0.1405716778396149
2026-08-11 18:22:56,461733,511260,158906,1131899,0.4079277391357356,0.451683409915549,0.1403888509487154
2026-08-11 19:21:38,462224,511658,159019,1132901,0.40800034601434726,0.45163522673207984,0.1403644272535729
2026-08-11 20:39:48,462859,511861,159107,1133827,0.4082271810426106,0.45144541451209047,0.14032740444529898
2026-08-11 23:10:05,464355,513321,159355,1137031,0.4083925592178226,0.45145734812859106,0.1401500926535864
2026-08-12 06:39:54,464358,513321,159355,1137034,0.40839412014064663,0.4514561569838721,0.1401497228754813
2026-08-12 07:28:48,464519,513476,159386,1137381,0.4084110777303296,0.45145470163472046,0.14013422063494993
2026-08-12 08:28:13,464746,513923,159425,1138094,0.40835467017662863,0.45156463350127496,0.1400806963220964
2026-08-12 10:03:44,471130,521825,161028,1153983,0.4082642465270286,0.4521947030415526,0.13954105043141884
2026-08-12 11:32:40,479118,535897,163444,1178459,0.40656314729659665,0.4547438646571497,0.13869298804625363
2026-08-12 12:31:27,486604,545925,165806,1198335,0.40606675095027683,0.4555696028239182,0.13836364622580496
2026-08-12 13:36:31,491139,552947,166874,1210960,0.4055782189337385,0.456618715729669,0.13780306533659245
2026-08-12 14:31:58,496667,560380,168193,1225240,0.40536303091639186,0.45736345532303874,0.13727351376056937
2026-08-12 15:43:52,501326,567611,169383,1238320,0.4048436591511079,0.45837182634537116,0.1367845145035209
2026-08-12 17:24:56,506140,574060,170685,1250885,0.4046255251282092,0.45892308245762,0.13645139241417076
2026-08-12 18:22:13,507947,576035,171090,1255072,0.40471542668468424,0.45896570077254534,0.13631887254277045
2026-08-12 19:20:20,508589,576410,171213,1256212,0.4048592116617259,0.4588477104183052,0.13629307791996892
2026-08-12 20:41:36,509783,577619,171392,1258794,0.40497730367319834,0.45886697902913426,0.13615571729766746
2026-08-12 23:53:27,510294,577773,171501,1259568,0.40513414122937386,0.45870727106436493,0.13615858770626119
2026-08-13 07:24:53,510319,577801,171506,1259626,0.40513533382130884,0.45870837851870316,0.13615628765998797
2026-08-13 08:29:33,510813,578271,171622,1260706,0.405180113365051,0.4586882270727672,0.13613165956218182
2026-08-13 10:05:08,517006,585834,173074,1275914,0.4052044260036335,0.4591485006042727,0.13564707339209384
2026-08-13 11:33:55,524882,599174,175535,1299591,0.40388245224843816,0.46104812975774684,0.13506941799381497
2026-08-13 12:30:20,532671,611228,177409,1321308,0.40313916210300704,0.4625931274161664,0.13426771048082659
2026-08-13 13:35:46,539603,619617,179721,1338941,0.40300730203944757,0.4627664699191376,0.13422622804141482
2026-08-13 14:32:42,545302,628118,181230,1354650,0.4025408777174916,0.4636754881334662,0.13378363414904218
2026-08-13 15:39:50,551145,635443,182619,1369207,0.4025286169293613,0.46409564076140425,0.13337574230923446
2026-08-13 16:19:00,553314,638620,183136,1375070,0.4023896965245406,0.46442726552102803,0.1331830379544314
2026-08-13 17:26:18,557067,643592,183970,1384629,0.40232221049826344,0.4648118737943521,0.13286591570738443
2026-08-13 18:22:37,559169,645819,184443,1389431,0.4024445978245771,0.4648082560415019,0.132747146133921
2026-08-13 19:22:08,559784,646213,184559,1390556,0.4025612776472145,0.46471555262786973,0.1327231697249158
2026-08-13 20:41:20,560484,646444,184651,1391579,0.40276836600724786,0.46453992191603927,0.13269171207671285
2026-08-13 23:49:55,561763,647746,184872,1394381,0.4028762583540654,0.4645401794774886,0.13258356216844608
2026-08-14 06:39:06,561766,647746,184872,1394384,0.40287754305844015,0.46453918002501465,0.13258327691654523
2026-08-14 07:26:21,561784,647760,184876,1394420,0.4028800504869408,0.4645372269474047,0.13258272256565454
2026-08-14 08:26:38,562240,648255,184937,1395432,0.40291465295335066,0.4645550625182739,0.13253028452837545
2026-08-14 09:59:19,569051,655739,186798,1411588,0.40312824988594403,0.46453993658206216,0.13233181353199375
2026-08-14 11:26:06,578887,671303,189293,1439483,0.40214924386046935,0.46635007151873276,0.1315006846207979
2026-08-14 12:28:19,586315,682965,191228,1460508,0.4014459352499267,0.46762153990255445,0.1309325248475188
2026-08-14 13:34:21,594648,694448,193641,1482737,0.40104752225108026,0.46835548043921477,0.13059699730970495
2026-08-14 14:29:35,598931,701604,194673,1495208,0.400567011412459,0.46923504957169837,0.13019793901584262
2026-08-14 15:34:03,604736,711147,195854,1511737,0.4000272534177572,0.4704171426643656,0.12955560391787724
2026-08-14 16:07:13,607155,714615,196315,1518085,0.3999479607531858,0.4707345109134205,0.12931752833339372
2026-08-14 16:59:28,607617,711194,196359,1515170,0.40102232752760414,0.46938231353577486,0.12959535893662097
2026-08-14 17:54:36,613934,724124,198017,1536075,0.39967709909997884,0.47141187767524373,0.12891102322477743
2026-08-14 18:55:48,615877,726754,198409,1541040,0.3996502362041219,0.4715996989046358,0.12875006489124227
2026-08-14 19:55:55,616265,726941,198468,1541674,0.3997375580051295,0.47152705435779546,0.128735387637075
2026-08-14 22:02:33,617922,727487,198723,1544132,0.40017433742711117,0.4711300588291675,0.12869560374372138
2026-08-14 23:20:14,617987,727502,198738,1544227,0.40019181117801983,0.4711107887635691,0.1286974000584111
2026-08-15 07:52:19,618089,727733,198756,1544578,0.40016690643010583,0.4711532858813216,0.12867980768857254
2026-08-15 09:13:16,620235,731237,199069,1550541,0.4000119958130743,0.47160120241902664,0.12838680176789907
2026-08-15 09:55:51,623304,733855,200006,1557165,0.4002812804038108,0.47127632588710894,0.12844239370908028
2026-08-15 10:55:09,629487,744213,201556,1575256,0.39960933334010473,0.47243940032604226,0.12795126633385304
2026-08-15 11:53:08,639378,758838,204073,1602289,0.3990403728665678,0.4735962114200372,0.12736341571339502
2026-08-15 12:55:50,649360,771885,206724,1627969,0.39887737420061437,0.4741398638426162,0.12698276195676944
2026-08-15 13:53:14,657381,783298,208868,1649547,0.39852213971472167,0.4748564302805558,0.1266214300047225
2026-08-15 15:00:09,665280,793985,210613,1669878,0.3984003621821474,0.47547485504929105,0.12612478276856154
2026-08-15 15:51:13,671409,801535,212077,1685021,0.39845734860277704,0.47568249891247644,0.12586015248474647
2026-08-15 16:55:08,677664,808297,213485,1699446,0.39875582984101876,0.47562382093929434,0.1256203492196869
2026-08-15 17:52:12,681609,812624,214326,1708559,0.3989379354180921,0.4756195132857572,0.12544255129615073
2026-08-15 18:53:57,682579,813456,214580,1710615,0.3990254966780953,0.4755342376864461,0.1254402656354586
2026-08-15 19:52:15,683860,815197,214813,1713870,0.39901509449374806,0.4756469277133038,0.1253379777929481
2026-08-15 22:09:20,686170,816112,215314,1717596,0.399494409628341,0.47514782288733787,0.12535776748432112
2026-08-15 23:30:16,686248,816159,215333,1717740,0.3995063280822476,0.47513535226518566,0.12535831965256675
2026-08-16 07:52:39,686300,816184,215342,1717826,0.39951659830506697,0.4751261187105097,0.12535728298442333
2026-08-16 09:16:15,687115,819113,215498,1721726,0.39908498797137293,0.47575107769761277,0.12516393433101433
2026-08-16 09:56:09,692565,819913,216888,1729366,0.4004733526621895,0.47411189996796516,0.12541474736984537
2026-08-16 10:55:01,695574,822305,217526,1735405,0.4008136429248504,0.4738404003676375,0.12534595670751209
2026-08-16 11:53:29,699264,825630,218353,1743247,0.401127321601586,0.47361618864108185,0.12525648975733214
2026-08-16 12:56:34,703556,829295,219175,1752026,0.40156710003162055,0.47333487060123536,0.1250980293671441
2026-08-16 13:51:51,708161,832980,220016,1761157,0.4020998695743764,0.4729731648001853,0.12492696562543827
2026-08-16 14:59:35,712805,836511,220899,1770215,0.40266577788573704,0.47254768488573423,0.12478653722852874
2026-08-16 15:50:11,717443,839870,221803,1779116,0.4032581349389247,0.4720715231609406,0.12467034190013468
2026-08-16 16:54:06,721119,842116,222496,1785731,0.4038228602180284,0.4715805460060894,0.12459659377588225
