Timestamp,Code,County,DEM,REP,NPA,OTHER,IND,Total,DEM %,REP %,NPA/Other %,Note
2026-08-06 08:16:10,MAN,Manatee,6811,7540,1066,5,125,15547,0.43809095002251236,0.4849810252781887,0.0769280246992989,First entry / reopened
2026-08-06 08:16:10,MRN,Marion,4793,4635,1399,31,216,11074,0.43281560411775327,0.41854795015351276,0.14863644572873397,First entry / reopened
2026-08-06 08:16:10,MRT,Martin,1914,2117,585,9,91,4716,0.405852417302799,0.4488973706530958,0.14525021204410518,First entry / reopened
2026-08-06 08:16:10,DAD,Miami-Dade,30679,21377,13504,100,896,66556,0.46095017729430854,0.3211881723661278,0.21786165033956367,First entry / reopened
2026-08-06 08:16:10,MON,Monroe,1825,1729,533,12,65,4164,0.4382804995196926,0.41522574447646493,0.14649375600384246,First entry / reopened
2026-08-06 08:16:10,NAS,Nassau,982,1253,418,7,69,2729,0.35983876877977283,0.4591425430560645,0.1810186881641627,First entry / reopened
2026-08-06 08:16:10,OKA,Okaloosa,1007,1602,357,8,45,3019,0.333554157005631,0.5306392845313017,0.13580655846306725,First entry / reopened
2026-08-06 08:16:10,OKE,Okeechobee,221,380,0,0,0,601,0.36772046589018303,0.632279534109817,0.0,First entry / reopened
2026-08-06 08:16:10,ORA,Orange,12870,7681,4463,96,438,25548,0.5037576326914044,0.30064975731955534,0.19559260998904024,First entry / reopened
2026-08-06 08:16:10,OSC,Osceola,4190,2883,1784,48,130,9035,0.4637520752628666,0.3190924183729939,0.21715550636413947,First entry / reopened
2026-08-06 08:16:10,PAL,Palm Beach,27195,12809,6856,87,854,47801,0.568921152277149,0.26796510533252443,0.16311374239032655,First entry / reopened
2026-08-06 08:16:10,PAS,Pasco,6498,5575,2415,44,267,14799,0.4390837218730995,0.37671464288127576,0.18420163524562472,First entry / reopened
2026-08-06 08:16:10,PIN,Pinellas,19523,19457,8578,204,841,48603,0.40168302368166575,0.40032508281381807,0.19799189350451618,First entry / reopened
2026-08-06 08:16:10,POL,Polk,8094,8085,2415,50,305,18949,0.42714655126919626,0.4266715921684522,0.14618185656235158,First entry / reopened
